"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"315",167,1,1,1,89000,45,0,814,814,0,0,1175,14,0,0,0,425,0,0,120,18.5238202247191,4.6961797752809,0,0,5.21797752808989,1,1,0,0,1
"316",168,5,1,0,34000,48,1,0,0,1081,0,1231,0,0,698,0,713,78,0,30,0,0,29.1388235294118,0,14.5694117647059,0,0,1,0,1
"318",169,5,0,0.25,40000,40,0,0,236,447,0,457,0,14,418,0,374,24,0,54,0,3.87,20.64,0,10.32,0,1,1,0,1
"322",171,5,1,0,27000,48,0,0,0,591,0,598,0,0,288,0,475,24,0,42,0,0,36.6933333333333,0,18.3466666666667,0,0,1,0,1
"326",173,5,0,0,18000,50,1,0,0,448,125,394,0,0,281,994,223,24,120,54,0,0,57.3333333333333,7.88333333333333,28.6666666666667,0,0,1,1,1
"330",175,5,0,0,28000,44,1,0,0,0,0,863,0,0,0,0,295,0,0,180,0,0,0,0,16.2171428571429,0,0,0,0,1
"332",176,5,0,0,26000,44,1,0,0,0,0,725,0,0,0,0,497,0,0,12,0,0,0,0,17.4646153846154,0,0,0,0,1
"334",177,5,0,0,45000,40,0,0,0,0,0,823,0,0,0,0,569,0,0,12,0,0,0,0,9.17333333333333,0,0,0,0,1
"336",178,5,0,0,34000,44,1,0,0,0,0,991,0,0,0,0,497,0,0,12,0,0,0,0,13.3552941176471,0,0,0,0,1
"338",179,5,0,0,36000,44,1,0,0,0,0,752,0,0,0,0,259,0,0,180,0,0,0,0,12.6133333333333,0,0,0,0,1
"344",182,1,1,0.5,180000,44,1,313,313,0,0,624,115,0,0,0,461,0,0,114,14.5053333333333,1.45053333333333,0,0,2.52266666666667,1,1,0,0,1
"346",183,5,1,0,11600,48,1,0,0,0,0,841,0,0,0,0,202,0,0,162,0,0,0,0,42.7034482758621,0,0,0,0,1
"348",184,2,0,0.83,60000,45,0,837,805,847,0,1045,763,22,461,0,461,36,0,78,52.4385,15.2865,15.48,0,7.74,1,1,1,0,1
"350",185,5,1,1,16000,45,0,0,0,0,0,1604,0,0,0,0,374,0,0,180,0,0,0,0,29.025,0,0,0,0,1
"352",186,5,0,0,33000,70,0,0,0,0,0,1768,0,0,0,0,194,0,0,180,0,0,0,0,21.8909090909091,0,0,0,0,1
"354",187,5,1,0,32000,45,1,0,0,0,0,1241,0,0,0,0,266,0,0,270,0,0,0,0,14.5125,0,0,0,0,1
"356",188,4,0,1,30000,45,1,0,0,0,636,923,0,0,0,864,482,0,192,12,0,0,0,8.514,15.48,0,0,0,1,1
"358",189,4,1,1,60000,43,1,854,854,0,714,1002,0,0,0,929,403,0,192,42,22.0031,8.1356,0,4.0678,7.396,1,1,0,1,1
"360",190,4,0,0.6,34000,70,0,0,815,0,714,1042,0,0,0,590,353,0,192,30,0,27.09,0,13.2794117647059,21.2470588235294,0,1,0,1,1
"362",191,5,1,0,28000,45,1,0,0,1199,0,1646,0,0,1008,0,1008,138,0,18,0,0,33.1714285714286,0,16.5857142857143,0,0,1,0,1
"364",192,4,1,0.5,50000,48,1,727,792,0,714,1033,317,0,0,389,194,0,192,30,24.768,9.9072,0,6.192,9.9072,1,1,0,1,1
"366",193,1,1,1,110000,50,1,778,0,0,714,1033,101,0,0,400,205,0,192,30,20.1709090909091,0,0,2.58,4.69090909090909,1,0,0,1,1
"368",194,5,1,0,41000,43,1,0,0,0,510,807,0,0,0,439,245,0,192,12,0,0,0,6.76463414634146,10.8234146341463,0,0,0,1,1
"370",195,4,1,0,27000,50,1,0,0,0,714,1288,0,0,0,446,158,0,192,78,0,0,0,11.9444444444444,19.1111111111111,0,0,0,1,1
"372",196,5,0,0,15000,45,0,0,0,0,0,857,0,0,0,0,562,0,0,12,0,0,0,0,30.96,0,0,0,0,1
"374",197,5,0,1,1e+05,48,1,142,0,0,0,139,43,0,0,0,446,0,0,6,4.45824,0,0,0,4.9536,1,0,0,0,1
"376",198,5,0,0,10000,45,0,0,0,0,0,629,0,0,0,0,662,0,0,12,0,0,0,0,46.44,0,0,0,0,1
"378",199,5,0,0.5,18000,45,1,624,624,0,0,848,86,0,0,0,331,0,0,108,140.61,31.605,0,0,25.8,1,1,0,0,1
"380",200,2,0,1,120000,45,1,0,930,859,0,1103,0,0,389,0,389,78,0,30,0,5.12775,9.675,0,3.87,0,1,1,0,1
"382",201,4,1,1,25000,45,0,0,0,0,714,989,0,0,0,778,216,0,192,30,0,0,0,11.61,18.576,0,0,0,1,1
"386",203,1,1,1,119000,44,1,722,740,0,0,922,317,0,0,0,259,0,0,12,8.4901512605042,4.2927731092437,0,0,3.81579831932773,1,1,0,0,1
